# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/exp-a/Arquivos/lab1a/trab/ula8bits.csv
# Generated on: Wed Sep  1 22:28:31 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
A[7],Output,PIN_H19,7,B7_N2,PIN_B6,,,,,,
A[6],Output,PIN_J19,7,B7_N2,PIN_B8,,,,,,
A[5],Output,PIN_E18,7,B7_N1,PIN_F10,,,,,,
A[4],Output,PIN_F18,7,B7_N1,PIN_J10,,,,,,
A[3],Output,PIN_F21,7,B7_N0,PIN_G11,,,,,,
A[2],Output,PIN_E19,7,B7_N0,PIN_C9,,,,,,
A[1],Output,PIN_F19,7,B7_N0,PIN_D7,,,,,,
A[0],Output,PIN_G19,7,B7_N2,PIN_A8,,,,,,
B[7],Output,PIN_G16,7,B7_N2,PIN_H12,,,,,,
B[6],Output,PIN_G15,7,B7_N2,PIN_C8,,,,,,
B[5],Output,PIN_F15,7,B7_N2,PIN_A6,,,,,,
B[4],Output,PIN_H17,7,B7_N2,PIN_G10,,,,,,
B[3],Output,PIN_J16,7,B7_N2,PIN_C11,,,,,,
B[2],Output,PIN_H16,7,B7_N2,PIN_G12,,,,,,
B[1],Output,PIN_J15,7,B7_N2,PIN_D11,,,,,,
B[0],Output,PIN_G17,7,B7_N1,PIN_D6,,,,,,
CarryOut,Output,PIN_F17,7,B7_N2,PIN_H10,,,,,,
control,Input,PIN_D9,8,B8_N1,PIN_D9,2.5 V,,,,,
number[4],Input,PIN_J14,8,B8_N0,PIN_J14,2.5 V,,,,,
number[3],Input,PIN_H13,8,B8_N0,PIN_H13,2.5 V,,,,,
number[2],Input,PIN_H14,8,B8_N0,PIN_H14,2.5 V,,,,,
number[1],Input,PIN_F14,8,B8_N0,PIN_F14,2.5 V,,,,,
number[0],Input,PIN_E10,8,B8_N1,PIN_E10,2.5 V,,,,,
Saida[7],Output,PIN_G21,7,B7_N1,PIN_E11,,,,,,
Saida[6],Output,PIN_G22,7,B7_N2,PIN_F11,,,,,,
Saida[5],Output,PIN_G20,7,B7_N1,PIN_B7,,,,,,
Saida[4],Output,PIN_H21,7,B7_N2,PIN_D8,,,,,,
Saida[3],Output,PIN_E24,7,B7_N1,PIN_F12,,,,,,
Saida[2],Output,PIN_E25,7,B7_N1,PIN_A7,,,,,,
Saida[1],Output,PIN_E22,7,B7_N0,PIN_C7,,,,,,
Saida[0],Output,PIN_E21,7,B7_N0,PIN_E7,,,,,,
